Date,Open,High,Low,Close,200_WMA_Open,200_WMA_High,200_WMA_Low,200_WMA_Close
2019-02-10,3673.20,3695.04,3640.98,3690.19,3324.95,3423.35,3214.23,3327.15
2019-02-09,3671.59,3679.94,3646.56,3671.20,3322.49,3420.88,3211.80,3324.68
2019-02-08,3401.38,3695.61,3391.02,3666.78,3320.04,3418.42,3209.36,3322.23
2019-02-07,3414.93,3427.95,3394.22,3399.47,3317.78,3415.95,3207.11,3319.78
2019-02-06,3469.09,3469.09,3398.57,3413.77,3315.52,3413.68,3204.85,3317.52
2019-02-05,3454.95,3478.15,3451.94,3466.36,3313.22,3411.39,3202.60,3315.26
2019-02-04,3467.21,3476.22,3442.59,3459.15,3310.93,3409.08,3200.31,3312.96
2019-02-03,3516.14,3521.39,3447.92,3464.01,3308.64,3406.79,3198.04,3310.68
2019-02-02,3484.63,3523.29,3467.57,3521.06,3306.31,3404.46,3195.75,3308.39
2019-02-01,3460.55,3501.95,3431.59,3487.95,3304.01,3402.12,3193.46,3306.05
2019-01-31,3485.41,3504.80,3447.92,3457.79,3301.71,3399.81,3191.18,3303.75
2019-01-30,3443.90,3495.17,3429.39,3486.18,3299.40,3397.48,3188.90,3301.46
2019-01-29,3468.87,3476.07,3400.82,3448.12,3297.12,3395.16,3186.62,3299.14
2019-01-28,3584.28,3586.75,3439.23,3470.45,3294.81,3392.86,3184.36,3296.85
2019-01-27,3604.69,3612.67,3567.25,3583.97,3292.43,3390.47,3182.08,3294.55
2019-01-26,3599.72,3654.93,3593.35,3602.46,3290.03,3388.07,3179.70,3292.17
2019-01-25,3607.39,3612.93,3575.60,3599.77,3287.64,3385.65,3177.31,3289.77
2019-01-24,3584.50,3616.09,3569.09,3600.87,3285.24,3383.25,3174.93,3287.38
2019-01-23,3605.56,3623.07,3565.31,3585.12,3282.86,3380.85,3172.56,3284.98
2019-01-22,3575.08,3620.75,3539.72,3604.58,3280.46,3378.44,3170.18,3282.60
2019-01-21,3600.37,3608.84,3558.54,3576.03,3278.09,3376.04,3167.83,3280.20
2019-01-20,3725.45,3743.39,3583.02,3601.01,3275.71,3373.66,3165.47,3277.84
2019-01-19,3652.38,3758.53,3652.38,3728.57,3273.24,3371.18,3163.10,3275.45
2019-01-18,3677.99,3682.52,3637.08,3657.84,3270.81,3368.68,3160.67,3272.98
2019-01-17,3651.87,3680.14,3621.96,3678.56,3268.37,3366.24,3158.26,3270.55
2019-01-16,3631.51,3685.78,3624.67,3655.01,3265.95,3363.80,3155.85,3268.11
2019-01-15,3704.22,3720.15,3619.95,3630.68,3263.56,3361.37,3153.44,3265.68
2019-01-14,3557.31,3727.84,3552.29,3706.05,3261.12,3358.93,3151.06,3263.29
2019-01-13,3658.87,3674.76,3544.93,3552.95,3258.78,3356.47,3148.72,3260.85
2019-01-12,3686.97,3698.98,3653.81,3661.30,3256.37,3354.05,3146.39,3258.52
2019-01-11,3674.02,3713.88,3653.07,3687.37,3253.94,3351.61,3143.98,3256.11
2019-01-10,4034.41,4064.07,3659.17,3678.92,3251.53,3349.17,3141.58,3253.68
2019-01-09,4031.55,4068.40,4022.66,4035.30,3248.86,3346.48,3139.17,3251.26
2019-01-08,4028.47,4109.02,3996.96,4030.85,3246.18,3343.79,3136.51,3248.59
2019-01-07,4078.58,4092.61,4020.89,4025.25,3243.51,3341.07,3133.86,3245.92
2019-01-06,3836.52,4093.30,3826.51,4076.63,3240.80,3338.35,3131.18,3243.25
2019-01-05,3851.97,3904.90,3836.90,3845.19,3238.25,3335.63,3128.64,3240.53
2019-01-04,3832.04,3865.93,3783.85,3857.72,3235.70,3333.04,3126.09,3237.99
2019-01-03,3931.05,3935.69,3826.22,3836.74,3233.16,3330.47,3123.58,3235.42
2019-01-02,3849.22,3947.98,3817.41,3943.41,3230.54,3327.86,3121.04,3232.88
2019-01-01,3746.71,3850.91,3707.23,3843.52,3228.00,3325.25,3118.51,3230.26
2018-12-31,3866.84,3868.74,3725.87,3742.70,3225.52,3322.70,3116.05,3227.71
2018-12-30,3822.38,3901.91,3797.22,3865.95,3222.94,3320.13,3113.57,3225.24
